tract,Neighborhood,City,State,Iincarceration Rate,Races 
24005402405,Gwynn Oak, Baltimore, MD,0.0375,All 
24510260303,Claremont - Freedom, Baltimore, MD,0.0362,All 
24510270805,Mid-Govans, Baltimore, MD,0.036,All 
24510280404,Irvington, Baltimore, MD,0.0358,All 
24510230200,South Baltimore, Baltimore, MD,0.0356,All 
24510090500,Better Waverly, Baltimore, MD,0.0356,All 
24510250205,Lakeland, Baltimore, MD,0.0355,All 
24510280101,Reisterstown Station, Baltimore, MD,0.0354,All 
24510010200,Patterson Park, Baltimore, MD,0.0353,All 
24510271802,Langston Hughes, Baltimore, MD,0.0353,All 
24510040100,Downtown, Baltimore, MD,0.0351,All 
24510150800,Garwyn Oaks, Baltimore, MD,0.0349,All 
24510010500,Upper Fells Point, Baltimore, MD,0.0348,All 
24510110200,Downtown, Baltimore, MD,0.0346,All 
24510250401,Brooklyn, Baltimore, MD,0.0339,All 
24510260102,Frankford, Baltimore, MD,0.0337,All 
24510230300,South Baltimore, Baltimore, MD,0.0331,All 
24005402303,Windsor Mill, Baltimore, MD,0.0329,All 
24510010400,Canton, Baltimore, MD,0.0324,All 
24510080101,Belair - Edison, Baltimore, MD,0.0321,All 
24510020200,Upper Fells Point, Baltimore, MD,0.0321,All 
24510260101,Cedmont, Baltimore, MD,0.032,All 
24510120700,Remington, Baltimore, MD,0.0319,All 
24005402306,Windsor Mill, Baltimore, MD,0.0315,All 
24510151100,East Arlington, Baltimore, MD,0.0312,All 
24510240300,Riverside, Baltimore, MD,0.031,All 
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.0308,All 
24510240100,Locust Point, Baltimore, MD,0.0305,All 
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0305,All 
24510030200,Little Italy, Baltimore, MD,0.0297,All 
24005402304,Gwynn Oak, Baltimore, MD,0.0294,All 
24510250303,Morrell Park, Baltimore, MD,0.0294,All 
24510270803,Loch Raven, Baltimore, MD,0.029,All 
24510260700,Fifteenth Street, Baltimore, MD,0.0288,All 
24510260401,Armistead Gardens, Baltimore, MD,0.0287,All 
24510210200,Pigtown, Baltimore, MD,0.0286,All 
24510010100,Canton, Baltimore, MD,0.028,All 
24510260501,Joseph Lee, Baltimore, MD,0.0275,All 
24510260404,Baltimore Highlands, Baltimore, MD,0.0273,All 
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.0266,All 
24510010300,Canton, Baltimore, MD,0.0259,All 
24510130600,Hampden, Baltimore, MD,0.0258,All 
24510270401,Glenham-Belford, Baltimore, MD,0.0254,All 
24510150500,Burleith-Leighton, Baltimore, MD,0.0252,All 
24510270101,Arcadia, Baltimore, MD,0.0247,All 
24510270501,Woodring, Baltimore, MD,0.0244,All 
24510200701,Allendale, Baltimore, MD,0.0243,All 
24510270301,Lauraville, Baltimore, MD,0.024,All 
24510270801,Idlewood, Baltimore, MD,0.0228,All 
24510250600,Brooklyn, Baltimore, MD,0.0226,All 
24003750201,Brooklyn, Baltimore, MD,0.0224,All 
24510270804,Lake Walker, Baltimore, MD,0.0218,All 
24510240400,Riverside Park, Baltimore, MD,0.02,All 
24005402403,Gwynn Oak, Baltimore, MD,0.0192,All 
24510270102,Waltherson, Baltimore, MD,0.0186,All 
24510260605,Medford - Broening, Baltimore, MD,0.0186,All 
24510270200,Lauraville, Baltimore, MD,0.0174,All 
24005401506,Windsor Mill, Baltimore, MD,0.0171,All 
24510130806,Woodberry, Baltimore, MD,0.0166,All 
24005401507,Windsor Mill, Baltimore, MD,0.0162,All 
24510272007,Fallstaff, Baltimore, MD,0.0161,All 
24510250206,Morrell Park, Baltimore, MD,0.016,All 
24510270402,Glenham-Belford, Baltimore, MD,0.0145,All 
24510130804,Hampden, Baltimore, MD,0.0142,All 
24005403202,Gwynn Oak, Baltimore, MD,0.014,All 
24510280403,Westgate, Baltimore, MD,0.0137,All 
24510250103,Violetville, Baltimore, MD,0.0134,All 
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0129,All 
24510271101,Radnor - Winston, Baltimore, MD,0.0127,All 
24510272006,Glen, Baltimore, MD,0.011,All 
24510270502,North Harford Road, Baltimore, MD,0.0108,All 
24510130803,Medfield, Baltimore, MD,0.0101,All 
24510040200,Downtown, Baltimore, MD,0.009,All 
24510130700,Hampden, Baltimore, MD,0.0077,All 
24510271400,Evergreen, Baltimore, MD,0.0064,All 
24510272004,Cheswolde, Baltimore, MD,0.0052,All 
24510270703,North Harford Road, Baltimore, MD,0.005,All 
24510271102,Mid-Charles, Baltimore, MD,0.0047,All 
24510271200,Homeland, Baltimore, MD,0.004,All 
24510020300,Fells Point, Baltimore, MD,0.0034,All 
24510120100,Tuscany - Canterbury, Baltimore, MD,0.0012,All 
24510272005,Cross Country, Baltimore, MD,0.0011,All 
24510261100,Canton, Baltimore, MD,0.001,All 
24510270302,Waltherson, Baltimore, MD,0.0008,All 
24510271300,Roland Park, Baltimore, MD,0.0002,All 
24510271503,Cross Keys, Baltimore, MD,0.0001,All 
