24510260402,Frankford, Baltimore, MD,0.0712,Black
24510180200,Poppleton, Baltimore, MD,0.0708,Black
24510060100,Patterson Park, Baltimore, MD,0.0705,Black
24510260404,Baltimore Highlands, Baltimore, MD,0.0691,Black
24510200200,Lexington, Baltimore, MD,0.069,Black
24510060300,Butchers Hill, Baltimore, MD,0.0689,Black
24510261000,Patterson Park, Baltimore, MD,0.0686,Black
24510130400,Woodbrook, Baltimore, MD,0.0672,Black
24510160801,Edmondson, Baltimore, MD,0.0659,Black
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0655,Black
24510271600,Edgecomb, Baltimore, MD,0.0644,Black
24510080500,Darley Park, Baltimore, MD,0.0639,Black
24510130100,Reservoir Hill, Baltimore, MD,0.0627,Black
24510090800,East Baltimore Midway, Baltimore, MD,0.0616,Black
24510250203,Cherry Hill, Baltimore, MD,0.0614,Black
24510270101,Arcadia, Baltimore, MD,0.0609,Black
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.0609,Black
24510150300,Coppin Heights, Baltimore, MD,0.0605,Black
24510170200,McCulloh Homes, Baltimore, MD,0.06,Black
24510150100,Sandtown-Winchester, Baltimore, MD,0.0597,Black
24510200800,Irvington, Baltimore, MD,0.0594,Black
24510080302,Berea, Baltimore, MD,0.0586,Black
24510280500,Pleasant View Gardens, Baltimore, MD,0.0581,Black
24510151200,Park Circle, Baltimore, MD,0.058,Black
24510270501,Woodring, Baltimore, MD,0.0578,Black
24510271700,Central Park Heights, Baltimore, MD,0.0577,Black
24510150600,NW Community Action, Baltimore, MD,0.0575,Black
24510020100,Upper Fells Point, Baltimore, MD,0.057,Black
24510160802,Edmondson, Baltimore, MD,0.0569,Black
24510250205,Lakeland, Baltimore, MD,0.0568,Black
24510260202,Parkside, Baltimore, MD,0.0564,Black
24510280402,Rognel Heights, Baltimore, MD,0.0562,Black
24510110200,Downtown, Baltimore, MD,0.0561,Black
24510280102,Gwynn Oak, Baltimore, MD,0.056,Black
24510070300,Milton - Montford, Baltimore, MD,0.056,Black
24510080102,Belair - Edison, Baltimore, MD,0.0555,Black
24510160100,Harlem Park, Baltimore, MD,0.0553,Black
